Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Big Bud Arete,3. Big Bud > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106413750/big-bud-arete,3.9,-1,Boulder,V2,1,,43.42737,-89.72676
Super Slab,Super Slab Area > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106528448/super-slab,3.8,-1,Boulder,V0,1,,43.42098,-89.73728
Slope of Dadaism,1. East of Trail Boulders > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435375/slope-of-dadaism,3.6,-1,Boulder,V3,1,,43.42252,-89.72392
Classic Warm Up,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106486247/classic-warm-up,3.5,-1,Boulder,V1,1,16,43.4,-89.74329
Flying Mancuso,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106272557/flying-mancuso,3.5,-1,Boulder,V3,1,,43.40436,-89.72961
Trust Fund Slab,08. Hogleg/Anchorpoint > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106488872/trust-fund-slab,3.2,-1,Boulder,V-easy,1,10,43.41885,-89.737
Stairway,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106272545/stairway,2.8,-1,Boulder,V0,1,,43.40436,-89.72961
Imp Act,Greatest Bluff > 3. Greatest Show > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106471847/imp-act,3,-1,Boulder,V1,1,20,43.42563,-89.7246
Tall Boy,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106272552/tall-boy,3.3,-1,Boulder,V1,1,,43.40436,-89.72961
Pocket Problem,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106272441/pocket-problem,2.7,-1,Boulder,V2,1,,43.40436,-89.72961
Mixed Emotion,"Mixed Emotion > 2.  Fat Raccoon > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107655923/mixed-emotion,3.9,-1,Boulder,V3-4,1,12,43.42768,-89.73609
Welcome Crack,2. Welcome to the Lake! > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106420046/welcome-crack,2.4,-1,Boulder,V0,1,20,43.42737,-89.72684
Gay Gigolo,Greatest Bluff > 3. Greatest Show > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/105935522/gay-gigolo,2.9,-1,Boulder,V2,1,,43.42563,-89.7246
