Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Godfather","3. Godfather Boulder > 1. Box Canyon Boulders > Cox Hollow > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105889429/the-godfather,3.8,-1,Boulder,V4,1,15,43.01229,-90.12221
"Grounded For Life","3. Boat Landing Boulders > Cox Hollow > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/106219310/grounded-for-life,3.6,-1,Boulder,V5,1,10,43.01417,-90.11354
Hangman,"East Side- Backbone Ridge > Backbone Ridge > 4. Group Camp B > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/106190473/hangman,3.5,-1,Boulder,V4+,1,15,43.05179,-90.09875
"Out Past Curfew","3. Boat Landing Boulders > Cox Hollow > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/106173046/out-past-curfew,3.4,-1,Boulder,V4,1,15,43.01417,-90.11354
"Only the Lonely","1. Lonely  Boulders > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105880291/only-the-lonely,3.4,-1,Boulder,V4,1,,43.04068,-90.1063
"Get the Hell Outta Dodge","East Side- Backbone Ridge > Backbone Ridge > 4. Group Camp B > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105879100/get-the-hell-outta-dodge,3.2,-1,Boulder,V4,1,,43.05179,-90.09875
"Another Daydream","1. Lonely  Boulders > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105880340/another-daydream,3.2,-1,Boulder,V3,1,,43.04068,-90.1063
"High Anxiety","High Anxiety > Plan B Area > 4. Group Camp B > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105879010/high-anxiety,3.0,-1,Boulder,V0+,1,,43.05023,-90.09778
Nameless,"West Side- Backbone Ridge > Backbone Ridge > 4. Group Camp B > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105879059/nameless,3.7,-1,Boulder,V4-5,1,,43.0511,-90.0994
"Seperation Anxiety","High Anxiety > Plan B Area > 4. Group Camp B > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105879002/seperation-anxiety,2.6,-1,Boulder,V0+,1,,43.05023,-90.09778
"House Arrest","3. Boat Landing Boulders > Cox Hollow > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/106231977/house-arrest,2.7,-1,Boulder,V2-,1,,43.01417,-90.11354
"Split Personality","High Anxiety > Plan B Area > 4. Group Camp B > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105879028/split-personality,2.8,-1,Boulder,V5,1,,43.05023,-90.09778
Resolution,"High Anxiety > Plan B Area > 4. Group Camp B > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105879034/resolution,2.6,-1,Boulder,V4,1,,43.05023,-90.09778
"Corleone's Corner","3. Godfather Boulder > 1. Box Canyon Boulders > Cox Hollow > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/106198440/corleones-corner,2.9,-1,Boulder,V0,1,12,43.01229,-90.12221
"The Good Times are Killing Me","3. Godfather Boulder > 1. Box Canyon Boulders > Cox Hollow > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105889437/the-good-times-are-killing-me,3.1,-1,Boulder,V2-3,1,,43.01229,-90.12221
"Picasso Center","West Side- Backbone Ridge > Backbone Ridge > 4. Group Camp B > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105879090/picasso-center,2.9,-1,Boulder,V3,1,,43.0511,-90.0994
"Highly Executed","East Side- Backbone Ridge > Backbone Ridge > 4. Group Camp B > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/106231956/highly-executed,3.8,-1,Boulder,V7,1,,43.05179,-90.09875
"Face Left of Wright's Arete","West Side- Backbone Ridge > Backbone Ridge > 4. Group Camp B > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/106186438/face-left-of-wrights-arete,3.4,-1,Boulder,V3,1,15,43.0511,-90.0994
"Picasso Right","West Side- Backbone Ridge > Backbone Ridge > 4. Group Camp B > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105879085/picasso-right,2.6,-1,Boulder,V1-2,1,,43.0511,-90.0994
"All in the Family","3. Godfather Boulder > 1. Box Canyon Boulders > Cox Hollow > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105889447/all-in-the-family,3.7,-1,Boulder,V5,1,,43.01229,-90.12221
Scarete,"West Side- Backbone Ridge > Backbone Ridge > 4. Group Camp B > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105885342/scarete,3.2,-1,Boulder,V2,1,25,43.0511,-90.0994
"Daydream Arete","1. Lonely  Boulders > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105880347/daydream-arete,2.6,-1,Boulder,V3+,1,,43.04068,-90.1063
"One Hand Clapping","West Side- Backbone Ridge > Backbone Ridge > 4. Group Camp B > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105879080/one-hand-clapping,2.6,-1,Boulder,V0,1,,43.0511,-90.0994
"Sandstone Violence","West Side- Backbone Ridge > Backbone Ridge > 4. Group Camp B > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105879049/sandstone-violence,3.9,-1,Boulder,V8,1,,43.0511,-90.0994
"Leaning Rock","West Side- Backbone Ridge > Backbone Ridge > 4. Group Camp B > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105879039/leaning-rock,2.7,-1,Boulder,V3,1,,43.0511,-90.0994
Ashmatica,"East Side- Backbone Ridge > Backbone Ridge > 4. Group Camp B > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105879105/ashmatica,2.3,-1,Boulder,V2,1,,43.05179,-90.09875
"Zoro's Conundrum","1. Seein' Elle Boulder > 1. Box Canyon Boulders > Cox Hollow > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/106507515/zoros-conundrum,2.5,-1,Boulder,V1,1,,43.01212,-90.12177
"Welcome to the Top","Barrel Ridge Proper > Barrel Ridge > Twin Valley > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/106252943/welcome-to-the-top,2.7,-1,Boulder,V1,1,12,43.03431,-90.11173
"Flake Face","1. Lonely  Boulders > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105880430/flake-face,2.2,-1,Boulder,V1,1,,43.04068,-90.1063
"Press It Out","Press It Out > Plan B Area > 4. Group Camp B > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/106218575/press-it-out,2.9,-1,Boulder,V3+,1,10,43.04966,-90.09842
"Left  Alone","1. Lonely  Boulders > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105880306/left-alone,2.4,-1,Boulder,V2,1,,43.04068,-90.1063
"Warm up Left","Press It Out > Plan B Area > 4. Group Camp B > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/106218860/warm-up-left,2.1,-1,Boulder,V1-,1,,43.04966,-90.09842
"Open Season","Barrel Boulders > Twin Valley > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105888675/open-season,3.6,-1,Boulder,V5,1,,43.03413,-90.11715
