Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Shadow of a Man","F: Shadow of a Man Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312154/shadow-of-a-man,3.8,-1,Boulder,V5,1,15,37.61583,-89.41048
Enlightenment,"Q: Illuminati Boulders > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312247/enlightenment,3.6,-1,Boulder,V4+,1,10,37.61699,-89.41109
"The Mollusk","L: Mollusk Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312136/the-mollusk,3.6,-1,Boulder,V2-3,1,10,37.61563,-89.41242
"The Red Sea","C: Red Sea Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/110027897/the-red-sea,3.9,-1,Boulder,V6,1,,37.61327,-89.41019
Atlas,"D: Atlas Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/110027723/atlas,3.4,-1,Boulder,V4,1,,37.61452,-89.40935
KFC,"F: Shadow of a Man Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312256/kfc,3.0,-1,Boulder,V3,1,10,37.61583,-89.41048
"Full Grain","R: Jump for Jesus Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/111359226/full-grain,3.9,-1,Boulder,V4,1,15,37.61824,-89.41325
Sukha,"K: Brown Cow Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108408957/sukha,3.0,-1,Boulder,V3,1,,37.61524,-89.41119
"Tyler Durden","J: Tyler Durden Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108411073/tyler-durden,3.6,-1,Boulder,V5,1,15,37.61607,-89.41122
"Embryo Stasis","U: Vultures Nest Boulders > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108601180/embryo-stasis,3.4,-1,Boulder,V4,1,8,37.61953,-89.41095
Calypso,"D: Atlas Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/111767702/calypso,3.6,-1,Boulder,V6,1,10,37.61452,-89.40935
"Open Gates","V: Open Gates Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/110192020/open-gates,3.3,-1,Boulder,V5,1,10,37.61992,-89.41143
Tabernacle,"R: Jump for Jesus Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112297553/tabernacle,3.7,-1,Boulder,V5,1,15,37.61824,-89.41325
Helios,"K: Brown Cow Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108408965/helios,2.7,-1,Boulder,V4,1,,37.61524,-89.41119
"Public Enemy","I: Public Enemy Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108412969/public-enemy,2.7,-1,Boulder,V1-2,1,,37.61837,-89.41271
"Jungle Book","Q: Illuminati Boulders > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312336/jungle-book,3.9,-1,Boulder,V8,1,15,37.61699,-89.41109
"Robert Paulson","J: Tyler Durden Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108411106/robert-paulson,2.8,-1,Boulder,V2,1,7,37.61607,-89.41122
"Tennis Shoe Arete","F: Shadow of a Man Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108412958/tennis-shoe-arete,2.7,-1,Boulder,V2,1,,37.61583,-89.41048
"Double Rainbow","V: Open Gates Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112483591/double-rainbow,3.0,-1,Boulder,V3,1,14,37.61992,-89.41143
"Comfortably Numb","F: Shadow of a Man Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312228/comfortably-numb,3.1,-1,Boulder,V3-4,1,15,37.61583,-89.41048
"Undercling King","Q: Illuminati Boulders > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312271/undercling-king,3.6,-1,Boulder,V6-,1,18,37.61699,-89.41109
"Brown Cow","K: Brown Cow Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108408901/brown-cow,3.0,-1,Boulder,V6,1,,37.61524,-89.41119
"Sukha Sit","K: Brown Cow Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/111289342/sukha-sit,3.0,-1,Boulder,V5,1,,37.61524,-89.41119
"Cain and Ankle","C: Red Sea Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/111872756/cain-and-ankle,3.8,-1,Boulder,V8,1,12,37.61327,-89.41019
Moses,"C: Red Sea Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112449392/moses,3.5,-1,Boulder,V7,1,17,37.61327,-89.41019
