Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Big Bud Arete","3. Big Bud > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/106413750/big-bud-arete,3.9,-1,Boulder,V2,1,,43.42737,-89.72676
"Super Slab","Super Slab Area > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/106528448/super-slab,3.8,-1,Boulder,V0,1,,43.42098,-89.73728
"The Flatiron","4. Flatiron > 07. East of CCC (Guillotine Ridge) > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105730853/the-flatiron,3.6,-1,Boulder,V4,1,10,43.41338,-89.71207
"Slope of Dadaism","1. East of Trail Boulders > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/106435375/slope-of-dadaism,3.6,-1,Boulder,V3,1,,43.42252,-89.72392
P.Stachio,"The Stache (aka Dog Walk) Boulder > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/106836673/pstachio,3.5,-1,Boulder,V4,1,12,43.42135,-89.73618
"Classic Warm Up","Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/106486247/classic-warm-up,3.5,-1,Boulder,V1,1,16,43.4,-89.74329
"Flying Mancuso","The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/106272557/flying-mancuso,3.5,-1,Boulder,V3,1,,43.40436,-89.72961
"Down and Dirty","Jenga > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/113418774/down-and-dirty,4.0,-1,Boulder,V5,1,,43.421,-89.73774
"Baby Crane","Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107303348/baby-crane,3.3,-1,Boulder,V4,1,12,43.4,-89.74329
"Awning Crack","The Awning > 14. The Lost & Found (Neck Oil Wall) > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107609958/awning-crack,2.3,-1,Boulder,V1,1,10,43.41871,-89.72562
