,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,votes,view,view_month,date
0,Big Bud Arete,3. Big Bud > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106413750/big-bud-arete,3.9,-1,Boulder,V2,1,,43.42737,-89.72676,141,14831,87,"Apr23,2009"
1,Super Slab,Super Slab Area > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106528448/super-slab,3.8,-1,Boulder,V0,1,,43.42098,-89.73728,93,8950,54,"Aug27,2009"
2,Slope of Dadaism,1. East of Trail Boulders > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435375/slope-of-dadaism,3.6,-1,Boulder,V3,1,,43.42252,-89.72391999999999,101,12217,72,"May18,2009"
3,Classic Warm Up,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106486247/classic-warm-up,3.5,-1,Boulder,V1,1,16.0,43.4,-89.74329,102,5732,34,"Jul12,2009"
4,Flying Mancuso,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106272557/flying-mancuso,3.5,-1,Boulder,V3,1,,43.40436,-89.72961,76,4159,24,"Oct8,2008"
5,Trust Fund Slab,08. Hogleg/Anchorpoint > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106488872/trust-fund-slab,3.2,-1,Boulder,V-easy,1,10.0,43.41885,-89.73700000000001,83,7256,43,"Jul14,2009"
6,Stairway,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106272545/stairway,2.8,-1,Boulder,V0,1,,43.40436,-89.72961,82,2583,15,"Oct8,2008"
7,Imp Act,Greatest Bluff > 3. Greatest Show > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106471847/imp-act,3.0,-1,Boulder,V1,1,20.0,43.42563,-89.7246,79,3939,23,"Jun25,2009"
8,Tall Boy,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106272552/tall-boy,3.3,-1,Boulder,V1,1,,43.40436,-89.72961,69,1883,11,"Oct8,2008"
9,Pocket Problem,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106272441/pocket-problem,2.7,-1,Boulder,V2,1,,43.40436,-89.72961,70,2138,12,"Oct8,2008"
10,Mixed Emotion,"Mixed Emotion > 2.  Fat Raccoon > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107655923/mixed-emotion,3.9,-1,Boulder,V3-4,1,12.0,43.42768,-89.73609,41,3268,25,"Jun13,2012"
11,Welcome Crack,2. Welcome to the Lake! > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106420046/welcome-crack,2.4,-1,Boulder,V0,1,20.0,43.42737,-89.72684,67,2856,17,"May1,2009"
12,Gay Gigolo,Greatest Bluff > 3. Greatest Show > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/105935522/gay-gigolo,2.9,-1,Boulder,V2,1,,43.42563,-89.7246,57,5299,27,"Mar24,2007"
13,Intercourse Arete,08. Hogleg/Anchorpoint > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106488906/intercourse-arete,2.6,-1,Boulder,V3,1,10.0,43.41885,-89.73700000000001,61,2824,17,"Jul14,2009"
14,Murder Slab,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106486263/murder-slab,3.0,-1,Boulder,V3,1,16.0,43.4,-89.74329,52,2667,16,"Jul12,2009"
15,Head Over Heels,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107331777/head-over-heels,2.8,-1,Boulder,V2,1,15.0,43.4,-89.74329,54,1460,10,"Oct17,2011"
